source_product_id	cycled_count	p_i	product_length	total_mismatches
product_000001	107	0.867464	549	0
product_000002	259	0.836790	579	0
product_000003	120	0.839808	576	0
product_000004	330	0.920000	498	0
product_000005	93	0.837795	578	0
product_000006	198	0.867464	549	0
product_000007	135	0.875831	541	0
product_000008	62	0.836790	579	0
product_000009	81	0.834785	581	0
product_000010	148	0.875831	541	0
product_000011	198	0.845877	570	0
product_000012	69	0.839808	576	0
product_000013	49	0.837795	578	0
product_000014	268	0.920000	498	0
product_000015	163	0.867464	549	0
product_000016	79	0.833783	582	0
product_000017	38	0.839808	576	0
product_000018	57	0.836790	579	0
product_000019	55	0.832783	583	0
product_000020	145	0.832783	583	0
product_000021	72	0.838801	577	0
product_000022	134	0.836790	579	0
product_000023	81	0.837795	578	0
product_000024	155	0.867464	549	0
product_000025	83	0.836790	579	0
product_000026	64	0.839808	576	0
product_000027	75	0.834785	581	0
product_000028	95	0.840817	575	0
product_000029	102	0.833783	582	0
product_000030	79	0.838801	577	0
product_000031	1	0.538123	575	2
product_000032	259	0.875831	541	0
product_000033	65	0.836790	579	0
product_000034	178	0.839808	576	0
product_000035	111	0.837795	578	0
product_000036	47	0.850967	565	0
product_000037	70	0.836790	579	0
product_000038	115	0.839808	576	0
product_000039	91	0.834785	581	0
product_000040	196	0.920000	498	0
product_000041	129	0.867464	549	0
product_000042	78	0.834785	581	0
product_000043	126	0.833783	582	0
product_000044	140	0.839808	576	0
product_000045	100	0.838801	577	0
product_000046	101	0.843849	572	0
product_000047	51	0.837795	578	0
product_000048	74	0.840817	575	0
product_000049	104	0.850967	565	0
product_000050	84	0.839808	576	0
product_000051	163	0.875831	541	0
product_000052	77	0.831785	584	0
product_000053	75	0.837795	578	0
product_000054	71	0.837795	578	0
product_000055	138	0.867464	549	0
product_000056	136	0.836790	579	0
product_000057	171	0.867464	549	0
product_000058	70	0.832783	583	0
product_000059	53	0.832783	583	0
product_000060	57	0.834785	581	0
product_000061	50	0.837795	578	0
product_000062	110	0.875831	541	0
product_000063	71	0.831785	584	0
product_000064	71	0.836790	579	0
product_000065	69	0.837795	578	0
product_000066	50	0.834785	581	0
product_000067	45	0.832783	583	0
product_000068	34	0.832783	583	0
product_000069	90	0.838801	577	0
product_000070	164	0.867464	549	0
product_000071	162	0.838801	577	0
product_000072	72	0.840817	575	0
product_000073	77	0.839808	576	0
product_000074	57	0.836790	579	0
product_000075	146	0.829791	586	0
product_000076	50	0.832783	583	0
product_000077	457	0.920000	498	0
product_000078	301	0.920000	498	0
product_000079	271	0.867464	549	0
product_000080	119	0.839808	576	0
product_000081	45	0.839808	576	0
product_000082	95	0.837795	578	0
product_000083	70	0.845877	570	0
product_000084	98	0.837795	578	0
product_000085	74	0.836790	579	0
product_000087	64	0.832783	583	0
product_000088	103	0.832783	583	0
product_000089	72	0.845877	570	0
product_000090	66	0.838801	577	0
product_000092	95	0.875831	541	0
product_000093	27	0.831785	584	0
